30 100 30 30
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30
15	27	10
3	11	30
28	22	24
29	24	7
16	3	30
26	12	19
1	30	12
26	20	14
20	3	17
12	20	11
6	7	9
20	22	10
18	27	22
4	8	20
8	23	25
8	14	2
10	17	6
23	18	29
19	15	16
29	7	28
30	3	20
7	1	29
23	22	11
25	26	17
18	14	29
7	4	10
24	25	3
15	16	30
10	11	27
8	12	29
27	20	8
27	4	6
10	6	13
12	28	30
30	28	21
3	23	27
5	21	18
22	30	17
29	6	19
16	10	23
20	16	5
5	16	14
22	26	6
16	27	8
4	2	22
9	20	17
20	24	15
25	12	6
10	21	12
28	20	12
6	11	30
8	26	10
30	8	12
2	30	23
24	21	7
28	7	19
19	1	30
10	28	30
17	23	29
22	27	8
12	27	28
16	1	4
3	21	4
1	7	30
15	13	29
23	11	19
9	2	26
15	25	18
18	14	24
20	24	9
12	14	6
28	27	11
13	1	5
24	15	3
29	9	1
3	5	14
4	13	5
23	15	22
15	6	11
12	1	3
8	18	23
9	30	8
23	25	22
29	22	30
7	5	14
1	26	25
21	17	10
22	6	9
7	4	27
16	8	17
1	21	18
17	2	21
16	26	27
12	29	26
26	5	3
13	11	21
29	25	10
25	28	5
10	2	28
11	8	23

